aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
***,AVIÃO,BOEING COMPANY,767-323,JATO,BIMOTOR,0,1988,ESTADOS UNIDOS,ESTADOS UNIDOS,AVIÃO,***,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,***,NENHUM,0
EXPERIMENTAL,ULTRALEVE,***,COYOTE II,PISTÃO,MONOMOTOR,2,1998,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,EXPERIMENTAL,DESTRUÍDA,2
PARTICULAR,AVIÃO,CESSNA AIRCRAFT,172G,PISTÃO,MONOMOTOR,4,1966,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,NENHUM,0
***,AVIÃO,***,LANCAIR 320 FB,PISTÃO,MONOMOTOR,2,2002,BRASIL,BRASIL,AVIÃO,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,EXPERIMENTAL,LEVE,0
***,AVIÃO,CESSNA AIRCRAFT,182P,PISTÃO,MONOMOTOR,4,1974,BRASIL,BRASIL,AVIÃO,PARTICULAR,ARAGUAÍNA,FORA DE AERODROMO,ARREMETIDA NO SOLO,PRIVADA,DESTRUÍDA,2
***,AVIÃO,CESSNA AIRCRAFT,A188B,PISTÃO,MONOMOTOR,1,1983,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FAZENDA BOLA SETE,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,1
PARTICULAR,AVIÃO,PIPER AIRCRAFT,PA-28R-200,PISTÃO,MONOMOTOR,4,1971,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,PRIVADA,LEVE,0
PARTICULAR,AVIÃO,EMBRAER,EMB-810C,PISTÃO,BIMOTOR,7,1977,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0
***,AVIÃO,CIRRUS DESIGN,SR22,PISTÃO,MONOMOTOR,4,2007,BRASIL,BRASIL,AVIÃO,PARTICULAR,AEROPORTO ESTADUAL DE JUNDIAÍ,SOROCABA,DECOLAGEM,PRIVADA,SUBSTANCIAL,0
REGULAR,AVIÃO,BOEING COMPANY,727-264,JATO,TRIMOTOR,5,1983,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,LEVE,0
REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-214,JATO,BIMOTOR,184,2001,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,LEVE,0
TÁXI AÉREO,AVIÃO,CESSNA AIRCRAFT,P206A,PISTÃO,MONOMOTOR,6,1966,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,VOO A BAIXA ALTURA,TÁXI AÉREO,LEVE,0
ESPECIALIZADA,AVIÃO,CESSNA AIRCRAFT,170A,PISTÃO,MONOMOTOR,1,1951,BRASIL,BRASIL,AVIÃO,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,ESPECIALIZADA,NENHUM,0
REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,JATO,BIMOTOR,125,2010,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,REGULAR,NENHUM,0
REGULAR,AVIÃO,EMBRAER,ERJ 190-100 IGW,JATO,BIMOTOR,112,2008,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,REGULAR,NENHUM,0
REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-232,JATO,BIMOTOR,166,2006,BRASIL,BRASIL,AVIÃO,REGULAR,JORGE NEWBERY AIRFIELD,ANTONIO CARLOS JOBIM / GALEÃO,INDETERMINADA,REGULAR,LEVE,0
***,AVIÃO,BEECH AIRCRAFT,C90,TURBOÉLICE,BIMOTOR,7,1979,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,CAMPO DE MARTE,PARATI,POUSO,TÁXI AÉREO,SUBSTANCIAL,0
TÁXI AÉREO,AVIÃO,LEARJET,31A,JATO,BIMOTOR,10,1995,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,TÁXI AÉREO,LEVE,0
NÃO REGULAR,AVIÃO,BOEING COMPANY,727-227,JATO,TRIMOTOR,5,1977,BRASIL,BRASIL,AVIÃO,NÃO REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,OPERAÇÃO DE SOLO,REGULAR,LEVE,0
REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-232,JATO,BIMOTOR,184,2001,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,REGULAR,LEVE,0
EXPERIMENTAL,ULTRALEVE,***,IBIS GS 700,PISTÃO,MONOMOTOR,2,2008,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,EXPERIMENTAL,LEVE,0
EXPERIMENTAL,ULTRALEVE,FABRICACAO PROPRIA,FOX V5 SUPER,PISTÃO,MONOMOTOR,0,0,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,EXPERIMENTAL,DESTRUÍDA,1
EXPERIMENTAL,ULTRALEVE,***,FOX II,PISTÃO,MONOMOTOR,2,1990,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,EXPERIMENTAL,DESTRUÍDA,0
***,AVIÃO,BEECH AIRCRAFT,58,PISTÃO,BIMOTOR,6,1973,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,GOVERNADOR ANDRÉ FRANCO MONTORO,PRESIDENTE JUSCELINO KUBITSCHEK,CORRIDA APÓS POUSO,TÁXI AÉREO,LEVE,0
INSTRUÇÃO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,PISTÃO,MONOMOTOR,4,1980,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,INSTRUÇÃO,LEVE,0
PARTICULAR,AVIÃO,EMBRAER,EMB-810C,PISTÃO,BIMOTOR,6,1979,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,PRIVADA,LEVE,0
INSTRUÇÃO,AVIÃO,PIPER AIRCRAFT,PA-34-200,PISTÃO,BIMOTOR,6,1972,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,INSTRUÇÃO,LEVE,0
INSTRUÇÃO,AVIÃO,AERO BOERO,AB-115,PISTÃO,MONOMOTOR,3,1992,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,INSTRUÇÃO,NENHUM,0
INSTRUÇÃO,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,PISTÃO,MONOMOTOR,2,1947,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,INSTRUÇÃO,LEVE,0
REGULAR,AVIÃO,FOKKER,F28MK0100,JATO,BIMOTOR,107,1993,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,REGULAR,LEVE,0
REGULAR,AVIÃO,AIRBUS INDUSTRIE,A321-231,JATO,BIMOTOR,232,2009,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,LEVE,0
PARTICULAR,AVIÃO,PIPER AIRCRAFT,PA-31T1,TURBOÉLICE,BIMOTOR,7,1981,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,NENHUM,0
REGULAR,AVIÃO,CESSNA AIRCRAFT,208B,TURBOÉLICE,MONOMOTOR,11,1993,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,REGULAR,LEVE,0
***,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212,TURBOÉLICE,BIMOTOR,71,1995,BRASIL,BRASIL,AVIÃO,REGULAR,VAL DE CANS / JÚLIO CEZAR RIBEIRO,ALTAMIRA,CORRIDA APÓS POUSO,REGULAR,SUBSTANCIAL,0
***,AVIÃO,PIPER AIRCRAFT,PA-32R-301T,PISTÃO,MONOMOTOR,7,1999,BRASIL,BRASIL,AVIÃO,PARTICULAR,ESTÂNCIA SANTA RITA,FAZENDA PONTAL,POUSO,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C,PISTÃO,MONOMOTOR,2,1960,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,ARARAS,ARARAS,POUSO,INSTRUÇÃO,LEVE,0
INSTRUÇÃO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C,PISTÃO,MONOMOTOR,2,1960,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,INSTRUÇÃO,NENHUM,0
PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,R44 II,PISTÃO,MONOMOTOR,4,2009,BRASIL,BRASIL,HELICÓPTERO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,PRIVADA,LEVE,0
***,AVIÃO,CESSNA AIRCRAFT,152,PISTÃO,MONOMOTOR,2,1978,BRASIL,BRASIL,AVIÃO,PARTICULAR,ESTÂNCIA SANTA RITA,SANTO ANTÔNIO DE LEVERGER,DECOLAGEM,PRIVADA,DESTRUÍDA,0
***,AVIÃO,CESSNA AIRCRAFT,A188B,PISTÃO,MONOMOTOR,1,1977,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,AGRÍCOLA,SUBSTANCIAL,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C-1,PISTÃO,MONOMOTOR,2,1963,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,RIO CLARO,DR. JOSÉ DE ARRUDA BOTELHO,ARREMETIDA NO SOLO,INSTRUÇÃO,SUBSTANCIAL,0
***,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,PISTÃO,MONOMOTOR,2,1946,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,INSTRUÇÃO,LEVE,0
EXPERIMENTAL,ULTRALEVE,HENRIQUE HAMILTON CERQUEIRA SANTOS,R-12,PISTÃO,MONOMOTOR,2,2009,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,EXPERIMENTAL,SUBSTANCIAL,0
TÁXI AÉREO,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,TURBOEIXO,BIMOTOR,14,2003,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,OPERAÇÃO DE SOLO,TÁXI AÉREO,LEVE,0
REGULAR,AVIÃO,FOKKER,F28MK0100,JATO,BIMOTOR,107,1992,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,REGULAR,NENHUM,0
REGULAR,AVIÃO,BOEING COMPANY,737-36N,JATO,BIMOTOR,156,1999,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,LEVE,0
***,AVIÃO,EMBRAER,EMB-810C,PISTÃO,BIMOTOR,6,1982,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,PRIVADA,LEVE,0
EXPERIMENTAL,ULTRALEVE,***,TRIKE CX,PISTÃO,MONOMOTOR,2,2002,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,EXPERIMENTAL,DESTRUÍDA,2
REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-214,JATO,BIMOTOR,184,2008,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,REGULAR,LEVE,0
REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-232,JATO,BIMOTOR,184,2001,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,LEVE,0
INSTRUÇÃO,AVIÃO,AERO BOERO,AB-115,PISTÃO,MONOMOTOR,2,1992,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,NENHUM,0
***,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,TURBOEIXO,BIMOTOR,14,2007,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,TÁXI AÉREO,NENHUM,0
***,AVIÃO,EMBRAER,EMB-202A,PISTÃO,MONOMOTOR,1,2009,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,BEECH AIRCRAFT,A36,PISTÃO,MONOMOTOR,6,1980,BRASIL,BRASIL,AVIÃO,PARTICULAR,BACACHERI,PARÁ DE MINAS,DECOLAGEM,PRIVADA,DESTRUÍDA,1
REGULAR,AVIÃO,BOEING COMPANY,737-341,JATO,BIMOTOR,156,1990,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,REGULAR,NENHUM,0
PARTICULAR,AVIÃO,BEECH AIRCRAFT,95-B55,PISTÃO,BIMOTOR,6,1980,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,0
REGULAR,AVIÃO,BOEING COMPANY,737-8EH,JATO,BIMOTOR,197,2007,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,OPERAÇÃO DE SOLO,REGULAR,NENHUM,0
REGULAR,AVIÃO,BOEING COMPANY,737-7BX,JATO,BIMOTOR,154,2000,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,REGULAR,NENHUM,0
***,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76A,TURBOEIXO,BIMOTOR,14,1981,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,JACAREPAGUÁ,CELTIC SEA,CIRCUITO DE TRÁFEGO,TÁXI AÉREO,NENHUM,0
***,HELICÓPTERO,AGUSTA,A109E,TURBOEIXO,BIMOTOR,8,2006,BRASIL,BRASIL,HELICÓPTERO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,PAIRADO,PRIVADA,LEVE,0
***,AVIÃO,PIPER AIRCRAFT,PA-28R-200,PISTÃO,MONOMOTOR,4,1973,BRASIL,BRASIL,AVIÃO,PARTICULAR,NANUQUE,MAJOR BRIGADEIRO TROMPOWSKY,CRUZEIRO,PRIVADA,***,0
***,AVIÃO,EMBRAER,EMB-820C NAVAJO,PISTÃO,BIMOTOR,10,1976,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,TÁXI AÉREO,SUBSTANCIAL,0
***,AVIÃO,EMBRAER,EMB-202A,PISTÃO,MONOMOTOR,1,2009,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,CESSNA AIRCRAFT,210L,PISTÃO,MONOMOTOR,0,0,BRASIL,BRASIL,AVIÃO,PARTICULAR,AERÓDROMO NACIONAL DE AVIAÇÃO,GENERAL LEITE DE CASTRO,DECOLAGEM,PRIVADA,SUBSTANCIAL,0
***,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,TURBOEIXO,BIMOTOR,14,2004,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,EURICO DE AGUIAR SALLES,ACERGY CONDOR,SUBIDA,TÁXI AÉREO,LEVE,0
***,AVIÃO,EMBRAER,EMB-810D,PISTÃO,BIMOTOR,6,1985,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,MARECHAL RONDON,ESTÂNCIA SANTA RITA,CORRIDA APÓS POUSO,TÁXI AÉREO,SUBSTANCIAL,0
***,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 B2,TURBOEIXO,MONOMOTOR,6,2009,BRASIL,BRASIL,HELICÓPTERO,PARTICULAR,CATALÃO,FAZENDA SANTA MÔNICA,APROXIMAÇÃO FINAL,PRIVADA,SUBSTANCIAL,0
TÁXI AÉREO,AVIÃO,HAWKER BEECHCRAFT,390,JATO,BIMOTOR,8,2008,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,TÁXI AÉREO,NENHUM,0
ESPECIALIZADA,AVIÃO,CESSNA AIRCRAFT,170A,PISTÃO,MONOMOTOR,1,1950,BRASIL,BRASIL,AVIÃO,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,ESPECIALIZADA,NENHUM,0
INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,152,PISTÃO,MONOMOTOR,2,1979,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,INSTRUÇÃO,NENHUM,0
TÁXI AÉREO,AVIÃO,CESSNA AIRCRAFT,650,JATO,BIMOTOR,11,1991,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,TÁXI AÉREO,NENHUM,0
TÁXI AÉREO,AVIÃO,LEARJET,31A,JATO,BIMOTOR,10,1999,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,TÁXI AÉREO,NENHUM,0
REGULAR,AVIÃO,EMBRAER,ERJ 170-200 LR,JATO,BIMOTOR,92,2006,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,NENHUM,0
REGULAR,AVIÃO,BOEING COMPANY,737-76N,JATO,BIMOTOR,153,2004,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,LEVE,0
PARTICULAR,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PISTÃO,BIMOTOR,0,0,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,***,0
PARTICULAR,AVIÃO,BEECH AIRCRAFT,58,PISTÃO,BIMOTOR,6,1984,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,NENHUM,0
INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,150J,PISTÃO,MONOMOTOR,2,1969,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,INSTRUÇÃO,NENHUM,0
INSTRUÇÃO,AVIÃO,AERO BOERO,AB-115,PISTÃO,MONOMOTOR,2,1991,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,INSTRUÇÃO,LEVE,0
TÁXI AÉREO,AVIÃO,LEARJET,35A,JATO,BIMOTOR,10,1982,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,TÁXI AÉREO,LEVE,0
TÁXI AÉREO,AVIÃO,TWIN COMMANDER,690B,TURBOÉLICE,BIMOTOR,10,1978,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,TÁXI AÉREO,NENHUM,0
REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,JATO,BIMOTOR,125,2010,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,REGULAR,LEVE,0
REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,JATO,BIMOTOR,125,2008,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,LEVE,0
PARTICULAR,HELICÓPTERO,BELL HELICOPTER,407,TURBOEIXO,MONOMOTOR,7,1996,BRASIL,BRASIL,HELICÓPTERO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,LEVE,0
PARTICULAR,AVIÃO,BEECH AIRCRAFT,58,PISTÃO,BIMOTOR,6,1979,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,LEVE,0
PARTICULAR,AVIÃO,BEECH AIRCRAFT,F33A,PISTÃO,MONOMOTOR,4,1990,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,NENHUM,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,PISTÃO,MONOMOTOR,7,1990,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,BEECH AIRCRAFT,A36,PISTÃO,MONOMOTOR,6,1972,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,EMBRAER,EMB-202A,PISTÃO,MONOMOTOR,1,2008,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,PISTÃO,MONOMOTOR,1,1995,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,SÃO JOSÉ,MAESTRO WILSON FONSECA,ESPECIALIZADA,AGRÍCOLA,DESTRUÍDA,1
REGULAR,AVIÃO,BOEING COMPANY,737-3Y0,JATO,BIMOTOR,156,1988,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,REGULAR,NENHUM,0
REGULAR,AVIÃO,BOEING COMPANY,737-341,JATO,BIMOTOR,156,1991,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,REGULAR,NENHUM,0
PARTICULAR,AVIÃO,BEECH AIRCRAFT,E55,PISTÃO,BIMOTOR,6,1981,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,NENHUM,0
***,HELICÓPTERO,ROBINSON HELICOPTER,R44 II,PISTÃO,MONOMOTOR,4,2006,BRASIL,BRASIL,HELICÓPTERO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,PRIVADA,SUBSTANCIAL,0
REGULAR,AVIÃO,BOEING COMPANY,737-3U3,JATO,BIMOTOR,156,1998,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,NENHUM,0
PARTICULAR,AVIÃO,PIPER AIRCRAFT,PA-28RT-201T,PISTÃO,MONOMOTOR,4,1980,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0
REGULAR,AVIÃO,EMBRAER,EMB-145EP,JATO,BIMOTOR,54,1997,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,LEVE,0
PARTICULAR,AVIÃO,EMBRAER,EMB-820C NAVAJO,PISTÃO,BIMOTOR,10,1976,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,NENHUM,0
***,HELICÓPTERO,ROBINSON HELICOPTER,R44,PISTÃO,MONOMOTOR,4,2000,BRASIL,BRASIL,HELICÓPTERO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720C,PISTÃO,MONOMOTOR,7,1978,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,SUBSTANCIAL,0
ADMINISTRAÇÃO DIRETA,AVIÃO,EMBRAER,EMB-810D,PISTÃO,BIMOTOR,6,1984,BRASIL,BRASIL,AVIÃO,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,NÃO REGULAR,LEVE,0
REGULAR,AVIÃO,BOEING COMPANY,737-7BX,JATO,BIMOTOR,154,2000,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,REGULAR,NENHUM,0
REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-42-500,TURBOÉLICE,BIMOTOR,50,2000,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,NENHUM,0
REGULAR,AVIÃO,AIRBUS INDUSTRIE,A319-132,JATO,BIMOTOR,154,1999,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,REGULAR,LEVE,0
REGULAR,AVIÃO,AIRBUS INDUSTRIE,A321-231,JATO,BIMOTOR,232,2011,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,REGULAR,LEVE,0
