aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,PISTÃO,MONOMOTOR,1,2000,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0
***,AVIÃO,BEECH AIRCRAFT,F33A,PISTÃO,MONOMOTOR,4,1994,BRASIL,BRASIL,AVIÃO,PARTICULAR,SANTA GENOVEVA/GOIÂNIA,BRIGADEIRO LYSIAS RODRIGUES,POUSO,PRIVADA,SUBSTANCIAL,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202A,PISTÃO,MONOMOTOR,1,2005,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,C.T.O. ITAÚ,FORA DE AERODROMO,OUTRA FASE,AGRÍCOLA,SUBSTANCIAL,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,PISTÃO,MONOMOTOR,1,2004,BRASIL,BRASIL,AVIÃO,PARTICULAR,FAZENDA IRMÃOS MUNARETTO,FAZENDA IRMÃOS MUNARETTO,VOO A BAIXA ALTURA,AGRÍCOLA,SUBSTANCIAL,0
REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-214,JATO,BIMOTOR,184,2009,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,REGULAR,LEVE,0
***,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,PISTÃO,MONOMOTOR,1,2003,BRASIL,BRASIL,AVIÃO,ESPECIALIZADA,SANTA TEREZINHA,COMANDANTE ANTONIO AMILTON BERALDO,ESPECIALIZADA,ESPECIALIZADA,NENHUM,0
***,AVIÃO,EMBRAER,EMB-810C,PISTÃO,BIMOTOR,7,1979,BRASIL,BRASIL,AVIÃO,PARTICULAR,EDUARDO GOMES,LÁBREA,CRUZEIRO,PRIVADA,LEVE,0
***,AVIÃO,PIPER AIRCRAFT,PA-31T1,TURBOÉLICE,BIMOTOR,7,1980,BRASIL,BRASIL,AVIÃO,PARTICULAR,MINISTRO VICTOR KONDER,BACACHERI,CORRIDA APÓS POUSO,PRIVADA,NENHUM,0
EXPERIMENTAL,AVIÃO,ANTONIO CESAR DA SILVA AMARAL,LANCAIR SUPER E,PISTÃO,MONOMOTOR,4,2009,BRASIL,BRASIL,AVIÃO,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,EXPERIMENTAL,SUBSTANCIAL,0
***,AVIÃO,EMBRAER,EMB-110P1,TURBOÉLICE,BIMOTOR,20,1991,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FAZENDA PAIAGUAS,MARECHAL RONDON,POUSO,TÁXI AÉREO,LEVE,0
TÁXI AÉREO,AVIÃO,EMBRAER,EMB-820C NAVAJO,PISTÃO,BIMOTOR,10,1976,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,TÁXI AÉREO,LEVE,0
